start	end	text
193260	195060	that you can break it down.
195060	201460	it's a total transmutation of elements you're able to produce hydrogen and helium from crude oil
202340	207780	and you release all of these elements in an electrical field that's self-generated we can't do
207780	219540	that now here is back to the rod assembly this was set up so that you can turn it in any direction
219540	224500	you want you can have the vapor the exhaust comes out here finally escape over at this point this
224500	229720	is the engine now the opposite direction so if the exhaust is going up the fuel
229720	233500	vapor has to go down so this would hook up to a fuel delivery system whether
233500	238240	it's a bubbler carburetor injector air and fuel go in here go through the
238240	242680	reactor they get converted to geek gas by it being accelerated around the rod
242680	246880	in the center and then the new gas coming out is fed into the intake of the
246880	252280	engine Wow we could use garbage on this we could use wood coal a liquid or a
252280	257880	a solid anything that can be vaporized is fuel
261720	267320	now when we started pointing the rod up it was because repeatedly throughout the bible
268280	272520	i recognize since many of the things we've dealt with are found in the book of ezekiel
273160	280200	and other bibles we started checking into what it said real closely and he mentions that the
280200	286920	chariot came from the north well wait did they have compasses back then well how about when isaiah
286920	293240	said he looked north to the heavens or moses when he looked north and asked for guidance
294520	301960	well north was up simply as simple as that that's it a north star he looked north to the heavens
302920	309880	um i'm sorry we didn't have compasses back then so north was up we have referred to this
309880	316880	It's biblical north.
316880	320320	We don't get any liquid fuel to our engines or furnaces.
320320	321540	All it is is a vapor.
321540	328120	By pulling a vacuum, which has been removed from most books, from 1955 on, all vacuum
328120	332040	technology that would help mankind was removed.
332040	339120	Actually this is not a plastic bottle, it is a combination of gas, diesel, and kerosene.
339120	344960	if you put this in an electric element underneath it and let it melt, the vapors you're going
344960	349820	to get off it are the vapors for gas, diesel, and kerosene. So if you redistill this back
349820	356160	into fuel, you have the fuel to run engines, power plants, whatever you want with no pollution
356160	363040	if you're using a geek. So why are we burying all the plastic in garbage bits? The government
363040	367320	doesn't want to see this technology used. That'd replace their pumping more oil out.
367320	378160	buying more of it and they're trucking it and flipping it around you mentioned vacuum technology
378160	386300	and the education material in that subject just kind of went black somewhere in the 50s about 50
386300	391380	60 years ago if you go back to the 1950s which i've gone to many old bookstores antique stores
391380	395940	and i bought the old encyclopedias and they couldn't figure out why somebody would want an
395940	402340	old encyclopedia set from 1955. I mean, it isn't worth anything. Oh, there are ornaments in my
402340	407840	home. Oh, okay, they helped me load them. For five bucks, you buy a whole set. But when you open it
407840	414980	up to Tesla, there was about 50 pages. When you open it up to vacuum technology, there was about
414980	423920	150 pages. The American Vacuum Society had all kinds of information in there. But 1958, nothing.
424860	425820	Gee, it all got erased.
425920	427000	Tesla, two paragraphs.
428180	428500	Why?
429420	432640	It's technology that would open people's minds up
432640	436160	to realizing that what we have today is garbage.
437220	439000	Tesla knew how to make a telephone call
439000	440780	so he could call anywhere in the world
440780	442260	using the Earth as a transmitter.
442880	444680	And it was a local call, crystal clear.
445060	446420	A lot better than my cell phone.
447720	450700	Yet today, we still don't get calls as clear as what he had.
451040	452580	That was in the 1890s.
453920	463140	So we're talking about, I mean, we've got all these issues about plastics and the use of them,
463600	467020	and of course the fact that they're not biodegradable, okay,
467480	470200	and what you're saying basically is they actually are.
470320	471840	A transmutation can occur.
471840	477280	Once you put them through a transmutation process, you now have clean, healthy fuel,
477840	480340	and you have nice, clean, fresh air coming out the tailpipe.
480340	485140	during one of our tests in California we're running on crude oil from Angola
485140	490220	and the exhaust papers that we were getting were cleaner or the exhaust was
490220	494060	cleaner than the air in the room we had three to seven parts per million
494060	498160	hydrocarbon in the air in the room but coming out of the tailpipe there was zero
498160	504040	to one part per million we had 21.1 to 23% oxygen coming out the
504040	507020	tailpipe and 20% oxygen in the room
510340	527340	The number of applications for using plasma energy is unlimited. It could replace our need for fuel in every piece of equipment we now have on the planet. It could take products that we now consider waste, vaporize it, to then use that as a new fuel.
527340	530660	How much energy is there in a can?
530660	534260	Well most people would look at an empty can. We don't want to
534260	538900	promote a name brand here but they look at this can and say well empty that's
538900	539380	only worth
539380	543300	two cents or five cents for recycling value. Well
543300	547420	that represents using a gate reactor in understanding the process
547420	550660	the equivalence of three and a half gallons of gasoline.
550660	554260	So what does that can worth to me?
554260	555980	A lot more than it is to you.
557340	566580	When it comes to medical applications, many, many medical applications here, just the thought
566580	572940	of being able to go get an x-ray that's safe, 20 years ago, if you'd asked me that, I'd
572940	575220	have said, I don't know if that's possible.
575220	578220	But after I saw the first x-rays we did, I was dancing.
578220	581620	It was like, yeah, what have we discovered here?
581620	585900	Then the flip side of that was, if there is a radiation that we're having here, is it
585900	586900	harmful?
586900	594000	So there was a little fear I had for a little while that if there was something harmful I wouldn't be able to market it.
594000	600000	But we had it checked out by the Nuclear Regulatory Commission in Utah and they said it's totally safe.
600000	601800	It's not alpha, beta, or gamma.
601800	608700	They have no idea what it is, but plasma puts out a different frequency that will expose x-ray film.
608700	616140	So it's a question of would people rather have that big expensive MRI machine or something that can be built for a few hundred bucks.
616900	625900	When I was released from that facility in Utah, the torture chamber as I call it,
625900	635200	I was told I would be lucky if I lived four to six months. Really? I'm glad you're a doctor and
635200	640600	you have your opinion. My opinion is I'm going to be here a long time so I will take care of
640600	645620	getting myself cured. The first thing I did when I got to Oklahoma was to find a place where I could
645620	656240	get cinnamon oil milk thistle clove oil 10 drops in here every morning every
656240	661880	lunchtime every dinnertime 21 days later I go in for a blood test so I'm we're
661880	666560	looking for hepatitis C herpes other things like that anything you find came
666560	672020	back and said mr. Pantone you're an excellent health that's what I needed to
672020	675960	here, thank you. That's what you expected. That's right. I said, why would you think you had all
675960	679960	those problems? Because that's what I was diagnosed with by five different doctors.
680900	686500	Oh no, they made mistakes. I said, well, we've got all the panels of the blood work that were
686500	693120	done and they all confirmed that I had problems. But they wanted to give me interferon and some
693120	699060	other stuff that would cause psychiatric problems. Well, I'm sorry, we are a country now that is
699060	704580	basing the legal system or illegal system i think it's called criminal system the better way of
704580	710660	wording it right because it is criminals running the system but we base it all on hypothetical
710660	716820	comments made by uh psychologists which you can't hold them legally responsible for right
716820	722180	well wait a minute in any other crime if somebody does something to you you can hold them responsible
722180	729420	for it, but it's an opinion of that doctor. I don't want opinion, I want fact. I mean,
729420	732820	I see some of the people that were treated in that place and they were being given injections
732820	737120	and all this because they opened their mouth and said, but what about my rights? You don't
737120	743500	have rights. That was the most popular comment in there. You don't have rights. And right
743500	751140	now in America, that's happening more and more.
751140	755140	When I got in the gate, I couldn't explain how it worked. People would ask how it worked.
755140	760280	I'd point to it and say, fuel goes in here, clean exhaust comes out there. What more do
760280	761280	you need to know?
761280	762280	Yes.
762280	765680	Well, they needed to know why it worked. Well, since there was no book in the world
765680	771960	on it, I had to start coming up with all the different discoveries and one at a time documenting
771960	777020	each and every one of the discoveries so that later we could put together the book. And
777020	784100	This is the first draft of the book, which is only 181 discoveries so far that we've made.
784740	787340	And the list will go on and on and on from here.
787700	793560	But things that scientists said could only happen out in space, we can recreate right here on the table.
794220	798780	A good example of that was we had a gentleman here from Europe.
799140	800800	He had just built his first engine.
801180	803020	He wanted to test it, and we have a policy.
803020	806200	The first time you run any engine or furnace, you have to do it outside.
807020	809540	to see how good it runs, make sure there's no gas leaks.
809680	813700	Well, he had started his up outside, but he had set it down in a puddle.
814260	816740	So a little bit of water was running over the top of the board
816740	818060	that he had the engine mounted to.
818880	821520	About 10 minutes later, there's a knock at my door in the office,
821620	823100	and they said, you've got to come out right now.
823720	825400	We've got tornadoes at the back door.
826180	827980	Well, they were going towards the back door.
828040	829140	I was running to the front door.
829420	831180	And they're going, no, no, no, it's out here.
831220	832860	And I said, yeah, and I'm going out here.
832920	833320	That's right.
833660	834620	Going out of the direction.
834620	838260	I don't need to see a tornado personal and up close.
838680	841260	And he convinced me, no, they're little tiny ones.
841700	843340	They're being produced by the Geet.
844180	848260	That stopped me in my tracks and I turned around and I said, what did you just say?
848380	852260	He said, no, around the bottom of Geet, they're forming tornadoes.
857940	863240	Many of the things that we have been able to accomplish, according to science, was not possible.
864100	867280	But once you start bringing the scientists in and showing them,
868140	871160	that's when they back up and go, okay, our books are wrong.
872160	872940	But continue.
873360	874140	What's next?
874300	875180	Come on, teach us.
876040	877240	That's what I'm all about.
877480	878160	I love teaching.
