source_pdf	record_type	patent_number	kind_code	issue_date	name_or_text	country_code	foreign_doc	foreign_kind	primary_examiner	attorney_firm	raw_line
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	5,445,841	A	8/1995	Arendt et al.						     5,445.841 A          8/1995 Arendt et al.                       Belogub et al., “Petrol-Hydrogen Truck With Load-Carrying
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	5,451,740	A	9/1995	Hanus et al.						     5,451,740 A          9/1995 Hanus et al.                        Capacity 5 Tons”, J. Hydrogen Energy, Vol. 16, No. 6, pp.
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	5,560,890	A	10/1996	Berman et al.						     5,560,890 A         10/1996 Berman et al.                       423-426 (1991), no month available.
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	5,599,758	A	2/1997	Guth et al.						     5,599,758 A          2/1997 Guth et al.                         Breshears et al., “Partial Hydrogen Injection Into Internal
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	5,660,602	A	8/1997	Collier, Jr. et al.						     5,660.602 A          8/1997 Collier, Jr. et al.                 Combustion Engines”, Proceedings of the EPA 1: Sympo
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	5,813,222	A	9/1998	Appleby						     5,813.222 A          9/1998 Appleby                                                 66
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	5,826,548	A	10/1998	Richardson, Jr.						     5,826,548. A        10/1998 Richardson, Jr.                     Chuveliov et al Comparison of Alternative Energy Tech
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	5,845,485	A	12/1998	Murphy et al.						     5,845,485. A        12/1998 Murphy et al.                       nologies Utilizing Fossil Fuels and Hydrogen Based on
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	5,847,353	A	12/1998	Titus et al.						     5,847,353 A         12/1998 Titus et al.                        Their Damage to Population and Environment in the USSR
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	5,852,927	A	12/1998	Cohn et al.						     5,852.927. A        12/1998 Cohn et al.                         and East Europe', pp. 269-300, no month/yr available.
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	5,887,554	A	3/1999	Cohn et al. .................... 123/3						     5,887,554. A * 3/1999 Cohn et al. .................... 123/3    Correa, "Lean Premixed Combustion for Gas-Turbines:
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	5,894,725	A	4/1999	Cullen et al.						     5,894,725 A    4/1999 Cullen et al.                             Review and Required Research', PD-vol. 33, Fossile Fuel
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	5,910,097	A	6/1999	Boegner et al.						     5,910,097 A          6/1999 Boegner et al.                      Combustion, ASME, pp. 1-9 (1991), no month available.
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	6,012,326	A	1/2000	Raybone et al.						     6,012,326 A          1/2000 Raybone et al.                      G       d V.      Inci   tion’. P        di   f Worksh
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	6,014,593	A	1/2000	Grufman						     6,014,593 A          1/2000 Grufman                                 as and vapor incinerauon, Proceedings of workshop on
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	6047,543	A	4/2000	Caren et al.						     6047,543 A           4/2000 Caren et al.                        Plasma Destruction of Wastes, France, pp. 1-13 (1990), no
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	6,048,500	A	4/2000	Caren et al.						     6,048,500 A          4/2000 Caren et al.                        month available.
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	6,082,102	A	7/2000	Wissler et al.						     6,082,102 A          7/2000 Wissler et al.                      Das, “Exhaust Emission Characterization of Hydrogen-Op
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	6,122,909	A	9/2000	Murphy et al.						     6,122,909 A          9/2000 Murphy et al.                       erated Engine System: Nature of Pollutants and their Control
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	6,125,629	A	10/2000	Patchett						     6,125,629 A         10/2000 Patchett                            Techniques”, Int. J. Hydrogen Energy, Vol. 16, No. 11, pp.
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	6,130,260	A	10/2000	Hall et al.						     6,130.260 A         10/2000 Hall et al.                         765-775 (1991), no month available.
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	6,176,078	B1	1/2001	Bako et al.						     6,176,078 B1         1/2001 Bako et al.                         the Future”,s: Int. J. of Hydrogen Energy, vol. 15, No. 6, pp.
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	6,235,254	B1	5/2001	Murphy et al.						     6,235,254 B1         5/2001 Murphy et al.                       425-443 (1990), no month available.
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	6,248,684	B1	6/2001	Yavuz et al.						     6,248,684 B1         6/2001 Yavuz et al.                        Das, “Fuel Induction Techniques for a Hydrogen Operated
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	6,284,157	B1	9/2001	Eliasson et al.						     6,284,157 B1         9/2001 Eliasson et al.                     Engine”, Int. J. of Hydrogen Energy, vol. 15, No. 11 (1990),
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	6,311,232	B1	10/2001	Cagle et al.						     6,311,232 B1        10/2001 Cagle et al.                        no month available.
/Users/esaruoho/Downloads/US7014930.pdf	us_patent	6,322,757	B1	11/2001	Cohn et al.						     6,322,757 B1        11/2001 Cohn et al.                         Deluchi, “Hydrogen Vehicles: An Evaluation of Fuel Stor
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			7/1982		DE	3O 48 540				DE                  3O 48 540        7/1982                          (1989), no month available.
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			7/1986		DE	237120	A1			DE                     237120 A1     7/1986                          Ducloset al., “Diagnostic Studies of a Pinch Plasma Accel
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			9/1996		DE	1951O 804				DE                 1951O 804         9/1996                          erator”, AIAA Journal, vol. 1, No. 11, pp. 2505-2513 (Nov.
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			5/1998		DE	19644864				DE                   19644864        5/1998
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			5/1998		DE	19644864	A1			DE                   19644864 A1     5/1998                          1963).
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			7/1999		DE	19757 936				DE                 19757 936         7/1999                          Feucht et al., “Hydrogen Drive for Road Vehicles-Results
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			1/2001		DE	19927518				DE                   19927518        1/2001                          from the Fleet Test Run in Berlin', Int. J. Hydrogen Energy,
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			12/1983		EP	OO96538				EP                    OO96538       12/1983                          vol. 13, No. 4, pp. 243-250 (1988), no month available.
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			8/1985		EP	O153116				EP                    O153116        8/1985                          Finegold et al., “Dissociated Methanol as a Consumable
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			5/1992		EP	O45922	A1			EP                     O45922 A1     5/1992                          Hydride for Automobiles and Gas Turbines”, pp. 1359–1369,
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			5/1992		EP	O485922	A1			EP                    O485922 A1     5/1992                          Advances in Hydrogen Energy 3 (Jun. 13-17, 1982).
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			8/2000		EP	1O3O395				EP                    1O3O395        8/2000                          Hall et al., “Initial Studies of a New Type of Ignitor: The
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			12/2000		EP	1057998				EP                    1057998       12/2000                          Railplug" -SAE Paper 912319, pp. 1730-1746 (1991), no
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			7/1987		FR	2593493				FR                    2593493        7/1987                          month available.
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			3/1989		FR	2620436				FR                    2620436        3/1989
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			2/1930		GB	3.55210				GB                     3.55210       2/1930                          Houseman et al., “Hydrogen Engines Based On Liquid
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			2/1971		GB	1221.317				GB                    1221.317       2/1971                          Fuels, A Review”, G.E., Proc., 3 "World Hydrogen Energy
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			9/1991		GB	2241746				GB                    2241746        9/1991                          Conf., pp. 949-968 (1980), no month available.
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			3/1976		JP	S1 2.7630				JP                   S1 2.7630       3/1976                          Houseman, et al., “Two Stage Combustion for Low Emis
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			8/1976		JP	S1 2.7630				JP                   S1 2.7630       8/1976                          sions Without Catalytic Converters”, Proc. of Automobile
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			5/1990		JP	O2 121300				JP                 O2 121300         5/1990                          Engineering Meeting, Dearborn, MI, pp. 1-9 (Oct. 18-22,
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			8/1991		JP	O31953OS				JP                   O31953OS        8/1991                          1976).
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			9/1993		JP	OS 231242				JP                 OS 231242         9/1993                          Jones et al., “Exhaust Gas Reforming of Hydrocarbon
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			11/1995		JP	O7 292372				JP                  O7 292372       11/1995                          Fuels”, Soc. of Automotive Engineers, Paper 93.1086, pp.
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			11/1989		SU	1519762				SU                    1519762       11/1989
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			11/1989		SU	SU 1519762				SU                SU 1519762        11/1989                          223-234 (1993), no month available.
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			1/1985		WO	WO 85/OO159				WO               WO 85/OO159         1/1985                          Kaske et al., “Hydrogen Production by the Hils Plasma
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			2/1994		WO	WO 94/03263				WO               WO 94/03263         2/1994                          Reforming Process”, Proc. VI World Hydrogen Energy
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			3/1995		WO	WO95/06 194				WO               WO95/06 194         3/1995                          Conference, vol. 1, pp. 185-190 (1986), no month available.
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			8/1996		WO	WO 96/24441				WO               WO 96/24441         8/1996                          MacDonald, “Evaluation of Hydrogen-Supplemented Fuel
/Users/esaruoho/Downloads/US7014930.pdf	foreign_patent			10/1998		WO	WO 98/45582				WO               WO 98/45582        10/1998                          Concept with an Experimental Multi-Cylinder Engine',
