source_pdf,sequence,citation
US7014930.pdf,20,"Jones et al., “Exhaust Gas Reforming of Hydrocarbon Fuels”, Soc. of Automotive Engineers, Paper 93.1086, pp. 223-234 (1993), no month available."
US7014930.pdf,21,"Kaske et al., “Hydrogen Production by the Hils Plasma Reforming Process”, Proc. VI World Hydrogen Energy Conference, vol. 1, pp. 185-190 (1986), no month available."
US7014930.pdf,22,"MacDonald, “Evaluation of Hydrogen-Supplemented Fuel Concept with an Experimental Multi-Cylinder Engine', Society of Automotive Engineers, Paper 760101, pp. 1-16 (1976), no month available."
US7014930.pdf,23,"Mackay, “Development of a 24 kW Gas Turbine-Driven             pp. 1115-1121 (2001), no month available."
US7014930.pdf,24,"Generator Set for Hybrid Vehicles', 940510, pp. 99-105,"
US7014930.pdf,25,"Mackay, “Hybrid Vehicle Gas Turbines”, 930044, pp. 35-41,      Plasma Boosted Reformer, Massachusetts Institute of"
US7014930.pdf,26,"Matthews et al., “Further Analysis of Railplugs as a New       JA-99-32 (1999), no month available."
US7014930.pdf,27,"Type of Ignitor”, SAE Paper 922167, pp. 1851-1862 (1992), eration Technology for Vehicular Applications”, Int. J. of"
US7014930.pdf,28,"Mischenko et al., “Hydrogen as a fuel for Road Vehicles”,      Hydrogen Energy 24, pp. 341-350 (1999), no month avail"
US7014930.pdf,29,"Proc. VII World Hydrogen Energy Conference, vol. 3, pp.        able. 2037-2056 (1988), no month available."
US7014930.pdf,30,"Monroe et al., “Evaluation of a Cu/Zeolite Catalyst to Remove No from Lean Exhaust”, Society of Automotive            Noble-Metal Catalysts at Low Temperatures Under Lean"
US7014930.pdf,31,"Engineers, Paper 930737, pp. 195-203 (1993), no month"
US7014930.pdf,32,"Rabinovich et al., “On Board Plasmatron Generation of          mental 23, pp. 115-121 (1999), no month available."
US7014930.pdf,33,"Hydrogen Rich Gas for Engine Pollution Reduction”, Pro Electric and Hybrid Electric Vehicles, Gaithersburg, MD,       Pt/La, Sro-Ceo Fe0s Catalyst a Low Temperatures”,Jour nal of Catalysis 209, pp. 456-471 (2002), no month avail"
US7014930.pdf,34,"Rabinovich et al., “Plasmatron Internal Combustion Engine System for Vehicle Pollution Reduction”, Int. J. of Vehicle"
US7014930.pdf,35,"Reformer for Near Zero Spark-Ignition Engines”, Delphi Design, vol. 15, Nos. Mar. 4, 2005, pp. 234-242 (1994), no"
US7014930.pdf,36,"Automotive Systems, pp. 1-21 (2002), no month available."
US7014930.pdf,37,"Scott et al., “Hydrogen Fuel Breakthrough with On-Demand Catalysts: What Next?” Journal of Catalysis Today 62, pp. Gas Generator', 372 Automotive Engineering, vol. 93, No.       35-50 (2000), no month available."
US7014930.pdf,38,"Koebel, “Selective Catalytic Reduction of NO and NO at"
US7014930.pdf,39,"Shabalina et al., “Slag Cleaning by Use of Plasma Heating”,"
US7014930.pdf,40,"Low Temperatures”, Journal of Catalysis Today 73, pp. pp. 1-7, no month/yr available."
US7014930.pdf,41,"Frank, “Kinetics and Mechanism of the Reduction of Nitric Data, pp. 507-547, no month/yr available."
US7014930.pdf,42,"Varde et al., “Reduction of Soot in Diesel Combustion with"
US7014930.pdf,43,"C-A1 O Catalyst”, Journal of Applied Catalysis B: Envi Hydrogen and Different H/C Gaseous Fuels”, Hydrogen"
US7014930.pdf,44,"ronmental 19, pp. 45-57 (1998), no month available."
US7014930.pdf,45,"Energy Progress V, pp. 1631-1639, no month/yr available."
US7014930.pdf,46,"Wang et al., “Emission Control Cost Effectiveness of Alter"
US7014930.pdf,47,"of NO with C.H. Over H-Ferrierite”, Journal of Catalysis native-Fuel Vehicles”, Society of Automotive Engineers,"
US7014930.pdf,48,"211, pp. 53-63 (2002), no month available."
US7014930.pdf,49,"Paper 93.1786, pp. 91-122 (1993), no month available."
US7014930.pdf,50,"Wilson, “Turbine Cars”, Technology Review, pp. 50-56           pp. 98-102 (Sep. 2001)."
US7014930.pdf,51,"Stokes, “A Gasoline Engine Concept for Improved Fuel"
US7014930.pdf,52,"Tachtler, “Fuel Cell Auxiliary Power Unit-Innovation for"
US7014930.pdf,53,"Economy - The Lean Boost System”, International Falls the Electric Supply of Passenger Cars?”, Society of Auto"
US7014930.pdf,54,"Fuels and Lubricants Meeting and Exposition, Baltimore, motive Engineers, Paper No. 2000-01-0374, pp. 109-117 (2000), no month available."
US7014930.pdf,55,"Kirwan, “Fast Start-Up On-Board Gasoline Reformer for Near Zero Emissions in Spark-Ingnition Engines', Society of Automotive Engineers World Congress, Detroit, MI (Mar. 4-7, 2002), Paper No. 2002-01-1011."
US7014930.pdf,56,"Bromberg, “Emissions Reductions. Using Hydrogen from Plasmatron Fuel Converters”, Int. J. of Hydrogen Energy 26,"
US7014930.pdf,57,"Bromberg, “Experimental Evaluation of SI Engine Opera"
US7014930.pdf,58,"Bromberg, “Compact Plasmatron-Boosted Hydrogen Gen"
US7014930.pdf,59,"Gore, “Hydrogen A Go-Go"", Discover, p. 92-93, (Jul. 1999)."
US7014930.pdf,60,"Burch, “An Investigation of the NO/H/O Reaction on Burn Conditions,” Journal of Applied Catalysis B: Environ"
US7014930.pdf,61,"Costa, “An Investigation of the NO/H/O (Lean De-No)"
US7014930.pdf,62,"Kirwan, “Development of a Fast Start-up O Gasoline"
US7014930.pdf,63,"Shellef, “Twenty-five Years after Introduction of Automotive 239-247 (2002), no month available."
US7014930.pdf,64,"Nanba, “Product Analysis of Selective Catalytic Reduction"
US7014930.pdf,65,"Simanaitis, “Whither the Automobile?', Road and Track,"
US7014930.pdf,66,"Chandler, “Device May Spark Clean-Running Cars”, The Boston Globe, p. E1 (Jul 12, 1999)."
